epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00458,1.56034,3.57595,1.33752,0.00278,0.16129,0.00173,0.00111,1.68481,3.71246,1.42658,8e-05,8e-05,8e-05
2,11.5635,1.54227,3.36315,1.23247,0.00833,0.48387,0.00873,0.0052,1.56525,3.58179,1.27202,0.000178218,0.000178218,0.000178218
3,17.235,1.57295,2.96647,1.19218,0.01111,0.64516,0.0193,0.01001,1.55045,3.4634,1.21904,0.000274456,0.000274456,0.000274456
4,22.7626,1.64308,2.4519,1.14204,0.01444,0.83871,0.0798,0.03308,1.64143,3.23042,1.16931,0.000368714,0.000368714,0.000368714
5,28.2675,1.54343,1.72453,1.17005,0.01444,0.83871,0.31118,0.16163,1.63181,2.99549,1.15829,0.000460992,0.000460992,0.000460992
6,33.9116,1.45269,1.46814,1.10831,0.89982,0.29032,0.61682,0.29057,1.61745,2.6824,1.17821,0.00055129,0.00055129,0.00055129
7,40.0994,1.35361,1.591,1.07076,0.86633,0.4182,0.6633,0.31473,1.67818,2.41256,1.18399,0.000639608,0.000639608,0.000639608
8,46.5359,1.47776,1.38044,1.13998,0.86633,0.4182,0.6633,0.31473,1.67818,2.41256,1.18399,0.000725946,0.000725946,0.000725946
9,53.1555,1.4571,1.61803,1.11872,0.75446,0.39688,0.69402,0.34974,1.62629,2.26437,1.14845,0.000810304,0.000810304,0.000810304
10,60.2834,1.51446,1.43679,1.10147,0.75729,0.3871,0.73439,0.34164,1.71789,2.18377,1.1415,0.000892682,0.000892682,0.000892682
11,67.7246,1.59151,1.59626,1.18536,0.75729,0.3871,0.73439,0.34164,1.71789,2.18377,1.1415,0.00097308,0.00097308,0.00097308
12,75.2655,1.57026,1.5283,1.10597,0.82229,0.59742,0.74775,0.34431,1.71636,2.04171,1.17177,0.0010515,0.0010515,0.0010515
13,81.5373,1.52436,1.44371,1.17865,0.82229,0.59742,0.74775,0.34431,1.71636,2.04171,1.17177,0.00112794,0.00112794,0.00112794
14,88.5394,1.47391,1.41849,1.11504,0.82229,0.59742,0.74775,0.34431,1.71636,2.04171,1.17177,0.00120239,0.00120239,0.00120239
15,95.7226,1.36641,1.37621,1.1289,0.72831,0.60554,0.65105,0.31497,1.79211,1.82773,1.26818,0.00127487,0.00127487,0.00127487
16,101.87,1.33614,1.24389,1.09537,0.72831,0.60554,0.65105,0.31497,1.79211,1.82773,1.26818,0.00134537,0.00134537,0.00134537
17,108.675,1.30951,1.27287,1.09499,0.72831,0.60554,0.65105,0.31497,1.79211,1.82773,1.26818,0.00141389,0.00141389,0.00141389
18,115.515,1.32993,1.39411,1.12132,0.75629,0.70097,0.68898,0.36832,1.71227,1.58593,1.26774,0.00148043,0.00148043,0.00148043
19,122.119,1.43529,1.21789,1.10288,0.75629,0.70097,0.68898,0.36832,1.71227,1.58593,1.26774,0.00154498,0.00154498,0.00154498
20,129.9,1.35692,1.30824,1.15831,0.75629,0.70097,0.68898,0.36832,1.71227,1.58593,1.26774,0.00160756,0.00160756,0.00160756
21,136.323,1.41051,1.43009,1.15831,0.6928,0.64516,0.66324,0.33924,1.76878,1.76497,1.25254,0.001604,0.001604,0.001604
22,142.81,1.29368,1.25366,1.08833,0.6928,0.64516,0.66324,0.33924,1.76878,1.76497,1.25254,0.0015842,0.0015842,0.0015842
23,149.266,1.30628,1.18971,1.07579,0.6928,0.64516,0.66324,0.33924,1.76878,1.76497,1.25254,0.0015644,0.0015644,0.0015644
24,155.644,1.36166,1.20385,1.07646,0.75549,0.6129,0.643,0.30995,1.90542,1.84775,1.2917,0.0015446,0.0015446,0.0015446
25,161.934,1.54056,1.32631,1.13048,0.75549,0.6129,0.643,0.30995,1.90542,1.84775,1.2917,0.0015248,0.0015248,0.0015248
26,171.19,1.47174,1.38503,1.10465,0.75549,0.6129,0.643,0.30995,1.90542,1.84775,1.2917,0.001505,0.001505,0.001505
27,178.466,1.42966,1.28463,1.0988,0.67351,0.73219,0.72952,0.32653,1.74918,1.65768,1.23716,0.0014852,0.0014852,0.0014852
28,185.209,1.25503,1.25317,1.06491,0.67351,0.73219,0.72952,0.32653,1.74918,1.65768,1.23716,0.0014654,0.0014654,0.0014654
29,192.534,1.36475,1.28886,1.11241,0.67351,0.73219,0.72952,0.32653,1.74918,1.65768,1.23716,0.0014456,0.0014456,0.0014456
30,200.076,1.28523,1.26422,1.06559,0.75888,0.67742,0.77592,0.35615,1.78808,1.52837,1.27562,0.0014258,0.0014258,0.0014258
31,206.922,1.46305,1.22385,1.11375,0.75888,0.67742,0.77592,0.35615,1.78808,1.52837,1.27562,0.001406,0.001406,0.001406
32,215.422,1.42485,1.1513,1.13564,0.75888,0.67742,0.77592,0.35615,1.78808,1.52837,1.27562,0.0013862,0.0013862,0.0013862
33,223.035,1.42336,1.31665,1.1792,0.75888,0.67742,0.77592,0.35615,1.78808,1.52837,1.27562,0.0013664,0.0013664,0.0013664
34,229.545,1.30601,1.25161,1.0719,0.7588,0.67742,0.77542,0.35013,1.80927,1.88433,1.30304,0.0013466,0.0013466,0.0013466
35,235.941,1.2689,1.09436,1.04363,0.7588,0.67742,0.77542,0.35013,1.80927,1.88433,1.30304,0.0013268,0.0013268,0.0013268
36,242.447,1.20975,1.0782,1.02197,0.7588,0.67742,0.77542,0.35013,1.80927,1.88433,1.30304,0.001307,0.001307,0.001307
37,248.885,1.40042,1.26603,1.14331,0.80689,0.67407,0.80128,0.35084,1.87172,2.05467,1.3792,0.0012872,0.0012872,0.0012872
38,255.294,1.33684,1.15976,1.08915,0.80689,0.67407,0.80128,0.35084,1.87172,2.05467,1.3792,0.0012674,0.0012674,0.0012674
39,261.699,1.22322,1.13355,1.10458,0.80689,0.67407,0.80128,0.35084,1.87172,2.05467,1.3792,0.0012476,0.0012476,0.0012476
40,268.189,1.30136,1.09687,1.08183,0.81271,0.70968,0.80301,0.36802,1.80456,1.82789,1.32253,0.0012278,0.0012278,0.0012278
41,274.621,1.29365,1.01455,1.05546,0.81271,0.70968,0.80301,0.36802,1.80456,1.82789,1.32253,0.001208,0.001208,0.001208
42,281.061,1.22316,1.25341,1.07512,0.81271,0.70968,0.80301,0.36802,1.80456,1.82789,1.32253,0.0011882,0.0011882,0.0011882
43,287.53,1.32141,1.04635,1.06044,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011684,0.0011684,0.0011684
44,295.218,1.22319,1.07831,1.01205,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011486,0.0011486,0.0011486
45,302.041,1.31456,1.19877,1.04578,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011288,0.0011288,0.0011288
46,308.497,1.28237,1.15929,1.04474,0.8381,0.66823,0.79203,0.38194,1.76451,1.4682,1.27491,0.001109,0.001109,0.001109
