epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97487,1.94604,3.56198,1.37577,0.02273,0.70978,0.03341,0.01669,1.62254,3.25431,1.29946,0.00016,0.00016,0.00016
2,9.68133,1.8708,2.08607,1.18382,0.03051,0.95268,0.60765,0.25035,1.65845,2.57958,1.16127,0.000336634,0.000336634,0.000336634
3,12.1934,1.78362,1.5101,1.1613,0.04417,0.88328,0.638,0.30364,1.49004,2.33596,1.05777,0.000509704,0.000509704,0.000509704
4,15.3001,1.81021,1.4584,1.19246,0.04523,0.70032,0.32564,0.1676,1.60243,2.6907,1.16053,0.00067921,0.00067921,0.00067921
5,19.4926,1.75308,1.39386,1.19476,0.93881,0.29041,0.68264,0.32833,1.65734,2.02192,1.17521,0.000845152,0.000845152,0.000845152
6,23.3393,1.79737,1.35421,1.21919,0.85588,0.43089,0.68996,0.31502,1.67374,1.75614,1.17123,0.00100753,0.00100753,0.00100753
7,25.9021,1.73738,1.38289,1.22463,0.90931,0.44283,0.7034,0.31364,1.64081,2.02059,1.21003,0.00116634,0.00116634,0.00116634
8,28.5903,1.78867,1.32319,1.2089,0.90307,0.41147,0.63164,0.27092,1.66501,2.03246,1.21285,0.00132159,0.00132159,0.00132159
9,31.0951,1.73885,1.24935,1.17122,0.85499,0.50789,0.65611,0.3147,1.64008,1.86353,1.19929,0.00147328,0.00147328,0.00147328
10,33.913,1.71185,1.21047,1.1686,0.85436,0.50473,0.66705,0.32352,1.66589,1.79713,1.19591,0.0016214,0.0016214,0.0016214
11,37.5837,1.7099,1.24557,1.19382,0.77579,0.65493,0.74604,0.36828,1.56603,1.55588,1.15895,0.00176596,0.00176596,0.00176596
12,40.2013,1.72292,1.1686,1.15885,0.74424,0.71924,0.78866,0.37128,1.6837,1.30725,1.22226,0.0017822,0.0017822,0.0017822
13,42.7484,1.7303,1.17354,1.16106,0.75764,0.70347,0.79274,0.37307,1.65393,1.32963,1.2067,0.0017624,0.0017624,0.0017624
14,45.205,1.71666,1.18736,1.16805,0.75313,0.71609,0.78319,0.36255,1.80068,1.28584,1.33076,0.0017426,0.0017426,0.0017426
15,48.0603,1.73119,1.13376,1.13546,0.7725,0.71293,0.76801,0.36896,1.65421,1.43068,1.23735,0.0017228,0.0017228,0.0017228
16,51.8572,1.68602,1.08365,1.15213,0.81302,0.53943,0.65794,0.30173,1.80859,1.94267,1.3659,0.001703,0.001703,0.001703
17,54.4297,1.67604,1.11143,1.1352,0.82517,0.61045,0.73442,0.35545,1.70224,1.70074,1.30196,0.0016832,0.0016832,0.0016832
18,56.8553,1.62181,1.02644,1.14489,0.76183,0.62562,0.72446,0.34131,1.76137,1.56867,1.28828,0.0016634,0.0016634,0.0016634
19,59.4,1.67541,1.08316,1.17503,0.7775,0.67508,0.73802,0.36951,1.72532,1.21624,1.2802,0.0016436,0.0016436,0.0016436
20,62.1793,1.66785,1.07304,1.12167,0.74605,0.7224,0.74759,0.34987,1.69174,1.10028,1.21478,0.0016238,0.0016238,0.0016238
21,65.9524,1.62671,1.11598,1.13317,0.75198,0.72555,0.77841,0.38277,1.65235,1.07418,1.20498,0.001604,0.001604,0.001604
22,68.5666,1.65746,1.08871,1.14858,0.70538,0.73817,0.7603,0.37071,1.74347,1.24488,1.24699,0.0015842,0.0015842,0.0015842
23,71.0564,1.59834,1.03139,1.12425,0.7789,0.69401,0.77329,0.37894,1.74508,1.14422,1.25769,0.0015644,0.0015644,0.0015644
24,73.6707,1.67462,1.03091,1.17172,0.78687,0.69879,0.78427,0.39191,1.69204,1.09161,1.22529,0.0015446,0.0015446,0.0015446
25,76.5926,1.64122,0.99904,1.12329,0.67629,0.63407,0.66967,0.30557,1.93013,1.48472,1.41092,0.0015248,0.0015248,0.0015248
26,80.1733,1.63742,0.9933,1.14032,0.65029,0.58044,0.60772,0.29068,1.88517,1.5354,1.35332,0.001505,0.001505,0.001505
27,82.8733,1.62122,0.97968,1.12928,0.66191,0.56818,0.59151,0.26799,2.07535,1.3464,1.40949,0.0014852,0.0014852,0.0014852
28,85.3511,1.58131,0.98912,1.12944,0.74144,0.64038,0.71729,0.35857,1.64722,1.3201,1.27072,0.0014654,0.0014654,0.0014654
29,87.8482,1.5763,0.95643,1.12147,0.78535,0.70032,0.7628,0.36871,1.76095,1.11903,1.2834,0.0014456,0.0014456,0.0014456
30,90.5025,1.59228,0.96956,1.1214,0.78558,0.75122,0.79003,0.39228,1.72631,1.00008,1.2911,0.0014258,0.0014258,0.0014258
31,94.3768,1.57925,0.99413,1.12611,0.71485,0.74339,0.76712,0.37095,1.75913,1.03217,1.3368,0.001406,0.001406,0.001406
32,97.095,1.63736,0.94358,1.13245,0.7894,0.74132,0.81475,0.40732,1.61156,0.96753,1.20119,0.0013862,0.0013862,0.0013862
33,99.5572,1.63106,0.95592,1.13902,0.80118,0.70662,0.80311,0.37551,1.7983,1.02991,1.29511,0.0013664,0.0013664,0.0013664
34,102.068,1.60372,0.90146,1.12696,0.78502,0.70662,0.78877,0.38631,1.74676,0.99299,1.26512,0.0013466,0.0013466,0.0013466
35,104.587,1.5999,0.90858,1.11796,0.80945,0.70662,0.78613,0.3824,1.71752,1.06246,1.28342,0.0013268,0.0013268,0.0013268
36,108.253,1.58913,0.92253,1.12379,0.72734,0.65931,0.7129,0.29287,1.86712,1.18358,1.36547,0.001307,0.001307,0.001307
37,110.967,1.62553,0.93,1.12649,0.79098,0.76402,0.82638,0.39949,1.58835,0.97547,1.20223,0.0012872,0.0012872,0.0012872
38,113.422,1.60189,0.89825,1.10487,0.74389,0.79811,0.81423,0.38883,1.58126,0.96306,1.19086,0.0012674,0.0012674,0.0012674
39,116.069,1.61775,0.92282,1.11591,0.83463,0.73817,0.81546,0.38685,1.71588,0.95847,1.24412,0.0012476,0.0012476,0.0012476
40,118.647,1.56716,0.89274,1.10175,0.77977,0.71924,0.80193,0.38037,1.70913,1.00952,1.26812,0.0012278,0.0012278,0.0012278
41,122.015,1.53106,0.88914,1.11992,0.74394,0.77287,0.82054,0.40551,1.74917,0.96105,1.30406,0.001208,0.001208,0.001208
42,125.07,1.49608,0.83808,1.08707,0.76037,0.70662,0.79517,0.39397,1.8067,1.04909,1.33023,0.0011882,0.0011882,0.0011882
43,127.582,1.50775,0.83381,1.07183,0.75034,0.67508,0.77359,0.37675,1.77978,1.26578,1.31791,0.0011684,0.0011684,0.0011684
44,130.042,1.51065,0.84421,1.0642,0.75119,0.75079,0.8009,0.3767,1.88152,1.04393,1.34385,0.0011486,0.0011486,0.0011486
45,132.602,1.48313,0.84098,1.09883,0.75456,0.75394,0.78744,0.37666,1.78599,1.04318,1.29419,0.0011288,0.0011288,0.0011288
46,136.002,1.49422,0.83876,1.09151,0.70778,0.70032,0.74184,0.34626,1.84936,1.14584,1.30364,0.001109,0.001109,0.001109
47,139.168,1.52347,0.87482,1.09233,0.6533,0.67171,0.68419,0.31242,1.91918,1.17919,1.35513,0.0010892,0.0010892,0.0010892
48,142.216,1.43616,0.81025,1.09183,0.77706,0.78069,0.82829,0.40617,1.63602,1.03127,1.24893,0.0010694,0.0010694,0.0010694
49,145.584,1.46378,0.81628,1.08021,0.81052,0.72866,0.81013,0.3884,1.73051,1.00498,1.30613,0.0010496,0.0010496,0.0010496
50,148.529,1.52908,0.85376,1.08,0.73417,0.77287,0.79483,0.37483,1.76038,1.09773,1.31065,0.0010298,0.0010298,0.0010298
51,152.149,1.47604,0.83158,1.06682,0.75822,0.76656,0.81933,0.40172,1.69681,1.00605,1.27792,0.00101,0.00101,0.00101
52,154.797,1.45217,0.81724,1.05732,0.72308,0.78251,0.82369,0.38935,1.83576,0.96677,1.31224,0.0009902,0.0009902,0.0009902
53,157.282,1.43677,0.79978,1.05701,0.73064,0.7359,0.80541,0.38932,1.71239,1.00174,1.2793,0.0009704,0.0009704,0.0009704
54,159.839,1.46625,0.79104,1.05912,0.73034,0.75394,0.81128,0.39569,1.6694,0.98975,1.27549,0.0009506,0.0009506,0.0009506
55,162.3,1.44501,0.79264,1.07348,0.76623,0.7224,0.79701,0.39432,1.67872,1.07601,1.29213,0.0009308,0.0009308,0.0009308
56,166.198,1.41016,0.78235,1.05664,0.84794,0.70366,0.84232,0.42116,1.69459,0.92989,1.25981,0.000911,0.000911,0.000911
57,168.951,1.43109,0.75861,1.04066,0.82552,0.7224,0.83633,0.392,1.84293,0.92796,1.3267,0.0008912,0.0008912,0.0008912
58,171.43,1.43631,0.78055,1.08663,0.87602,0.70347,0.86072,0.40833,1.74221,0.86437,1.27994,0.0008714,0.0008714,0.0008714
59,173.987,1.38838,0.74951,1.05749,0.7338,0.80442,0.84166,0.41762,1.64242,0.88133,1.2167,0.0008516,0.0008516,0.0008516
60,176.563,1.43584,0.8013,1.06761,0.82016,0.70032,0.82523,0.39825,1.71334,0.89112,1.24425,0.0008318,0.0008318,0.0008318
61,180.307,1.4044,0.77308,1.04998,0.7797,0.71455,0.81435,0.40493,1.69152,0.92021,1.24269,0.000812,0.000812,0.000812
62,183.02,1.42416,0.78316,1.04899,0.68087,0.73817,0.77559,0.37083,1.62611,0.91442,1.23067,0.0007922,0.0007922,0.0007922
63,185.526,1.38564,0.77131,1.05065,0.6784,0.73863,0.76155,0.36975,1.7074,0.9421,1.27757,0.0007724,0.0007724,0.0007724
64,188.013,1.37544,0.71835,1.0476,0.79711,0.69716,0.80211,0.40014,1.70096,0.86479,1.24251,0.0007526,0.0007526,0.0007526
65,190.641,1.38567,0.75314,1.06429,0.74164,0.73817,0.79732,0.39666,1.71574,0.84444,1.25104,0.0007328,0.0007328,0.0007328
66,194.287,1.34809,0.7463,1.03738,0.75522,0.71924,0.79496,0.38156,1.72793,0.9313,1.25479,0.000713,0.000713,0.000713
67,197.129,1.37496,0.73982,1.02554,0.77726,0.69085,0.78914,0.39172,1.71092,1.02324,1.24073,0.0006932,0.0006932,0.0006932
68,199.67,1.38777,0.74764,1.03864,0.75331,0.75079,0.80706,0.39846,1.65822,0.93455,1.25164,0.0006734,0.0006734,0.0006734
69,202.173,1.3648,0.75437,1.0528,0.81902,0.74132,0.82232,0.40514,1.69065,0.91785,1.25867,0.0006536,0.0006536,0.0006536
70,204.729,1.32541,0.7749,1.0456,0.83753,0.71293,0.82483,0.41034,1.72943,0.86722,1.27689,0.0006338,0.0006338,0.0006338
71,208.278,1.35645,0.7302,1.04105,0.78503,0.74132,0.81798,0.39791,1.75493,0.97626,1.32696,0.000614,0.000614,0.000614
72,211.008,1.33067,0.70782,1.03768,0.80518,0.68454,0.80449,0.39621,1.69298,0.96211,1.2977,0.0005942,0.0005942,0.0005942
73,213.731,1.3083,0.71522,1.03099,0.77533,0.7076,0.79665,0.38942,1.7205,0.92245,1.31124,0.0005744,0.0005744,0.0005744
74,216.478,1.33323,0.69516,1.03865,0.75503,0.72555,0.78281,0.38502,1.76136,1.00184,1.32018,0.0005546,0.0005546,0.0005546
75,218.92,1.29254,0.70584,1.01355,0.75146,0.74763,0.80332,0.39848,1.73106,0.95923,1.29468,0.0005348,0.0005348,0.0005348
76,222.307,1.23537,0.68976,1.04008,0.77764,0.7224,0.80602,0.39935,1.71177,0.94398,1.26402,0.000515,0.000515,0.000515
77,225.336,1.32646,0.73693,1.01657,0.77536,0.71293,0.79327,0.38853,1.74228,0.99931,1.30243,0.0004952,0.0004952,0.0004952
78,227.972,1.34331,0.70652,1.02059,0.712,0.76972,0.80016,0.38191,1.77743,0.96812,1.32359,0.0004754,0.0004754,0.0004754
79,230.482,1.28392,0.66767,1.00977,0.74081,0.76637,0.7935,0.37549,1.79685,1.07796,1.34283,0.0004556,0.0004556,0.0004556
80,232.966,1.32505,0.73223,1.04655,0.76239,0.76972,0.81627,0.38657,1.7812,0.92029,1.33003,0.0004358,0.0004358,0.0004358
81,236.203,1.19717,0.6568,1.00907,0.74184,0.77287,0.8238,0.39952,1.75379,0.86428,1.30457,0.000416,0.000416,0.000416
82,239.524,1.2421,0.68049,1.01081,0.71867,0.79495,0.82368,0.41168,1.75519,0.93575,1.31323,0.0003962,0.0003962,0.0003962
83,242.053,1.31175,0.69384,1.01894,0.77532,0.75079,0.81829,0.40708,1.75372,1.00122,1.31671,0.0003764,0.0003764,0.0003764
84,244.48,1.23626,0.67236,0.99349,0.79889,0.75189,0.82108,0.40119,1.75316,0.94605,1.3081,0.0003566,0.0003566,0.0003566
85,247.039,1.25459,0.68125,0.99967,0.76244,0.79983,0.83268,0.40616,1.72388,0.87463,1.29662,0.0003368,0.0003368,0.0003368
86,250.401,1.28071,0.68307,0.99943,0.76322,0.80757,0.84056,0.40457,1.72845,0.87537,1.28731,0.000317,0.000317,0.000317
87,253.858,1.24517,0.66759,1.00068,0.75097,0.80757,0.83765,0.40358,1.77783,0.85316,1.29664,0.0002972,0.0002972,0.0002972
88,256.415,1.29789,0.6729,1.01288,0.74091,0.79811,0.82368,0.39862,1.78966,0.87015,1.29797,0.0002774,0.0002774,0.0002774
89,259.024,1.19539,0.62822,0.9896,0.73789,0.7815,0.8003,0.38784,1.76854,0.89364,1.29326,0.0002576,0.0002576,0.0002576
90,261.46,1.25778,0.6476,0.99855,0.737,0.75394,0.79139,0.38331,1.72377,0.89798,1.27197,0.0002378,0.0002378,0.0002378
91,267.161,1.2002,0.73293,1.03931,0.72285,0.78233,0.80118,0.3884,1.71277,0.88176,1.26251,0.000218,0.000218,0.000218
92,271.878,1.20664,0.60847,1.01805,0.735,0.7918,0.81314,0.40019,1.70881,0.86136,1.26527,0.0001982,0.0001982,0.0001982
93,274.676,1.19972,0.632,0.99465,0.70908,0.79966,0.80791,0.39023,1.72991,0.8613,1.29269,0.0001784,0.0001784,0.0001784
94,277.254,1.19779,0.61875,1.01687,0.72028,0.78864,0.80426,0.38416,1.76817,0.87666,1.31385,0.0001586,0.0001586,0.0001586
95,280.84,1.1837,0.5996,1.00833,0.69447,0.81388,0.80235,0.38165,1.76148,0.89923,1.3089,0.0001388,0.0001388,0.0001388
96,283.503,1.13846,0.5863,0.99087,0.72805,0.7918,0.80435,0.38595,1.74578,0.91226,1.29864,0.000119,0.000119,0.000119
97,285.991,1.15993,0.5804,1.00445,0.71593,0.80126,0.80685,0.38327,1.72307,0.91875,1.28615,9.92e-05,9.92e-05,9.92e-05
98,288.549,1.18532,0.60378,1.0197,0.71799,0.7918,0.80465,0.37861,1.7202,0.91255,1.28724,7.94e-05,7.94e-05,7.94e-05
99,291.006,1.19587,0.60829,0.991,0.72622,0.80757,0.81018,0.38142,1.71643,0.89909,1.28394,5.96e-05,5.96e-05,5.96e-05
100,294.331,1.16917,0.58541,0.98155,0.73945,0.78785,0.81569,0.38367,1.71934,0.88295,1.27908,3.98e-05,3.98e-05,3.98e-05
